sr.no,poem,label
11,"Sick of it 
Sick of you 
Sick of me 
Sick of us 
Just 
So Sick 
Of every thing abt you 
Every inch of you 
Can't you just go away 
Leave me alone 
Just for one day ? 
No ? 
U might say that you 
Want to hold on to us 
Want me to understand you 
Want me to see 
How much you love me 
But 
I just don't want to 
Suffocate myself 
Down to death 
This 
Everything abt this 
Trying so hard to "" make "" things better 
Until the very last breath? 
Is it worth it? 
Aren't we just fooling ourselves 
And living in an illusion 
Where everything just happens to be fine 
Until and unless we are together? 
No 
It's just so false 
I wanna break free 
Free of these walls 
I want you to let me go 
Should have done this ages ago ..
But
I just hope you know 
I truly loved you 
From the get go !",
12,"It's a crisis 
All around and deep within 
Death and dark 
Everywhere you look 
Cruelty grows with time 
Almost exponentially 
Truths hide behind the dark cowards
They wait and claw out at the worst peaks
Lies decorate my world 
Make all of this seem beautiful 
I am fooled for a split second
But the colours turn to dust
The dwellers of the darkness 
Rise above and beyond 
They look very similar to the masks I see around ...
Or are they the same maybe?
They prey on themselves 
Watch them squirm and suffer
And they often get off on it 
These monsters then go back to sleep
Behind the ferocious facade of the exteriors..
The concepts of beauty make them easy to camouflage 
It's so wrecked and twisted 
It can't be fixed ..
Even if you and I want it to .
It's the world of death my friend
We just dance around until it strikes 
We are temporary somethings 
Waiting to fade into permanent nothings ..
So go on ..
Have it all .. 
It's just a facade after all",
13,"I feel so trapped 
It's dark 
I can't see anything ; 
I can't see you ..
It's so infuriating! 
I am breathless 
Struggling to find a way 
Out of this mess 

I want to hold you ..
I want to pull you close and 
Never let go of you 
But ..
My hands; 
They are stoned ..
Heavy ..
It's just so much to take in !

Ignorance 
Hatred 
Jealousy 
Anger 
Everything 
That you shower me with ..
I take it all ..
Keep it within 
But now , 
M so full of you 
Lost myself 
But I still hope 
Like a pathetic loser 
That 
You will see me 
Help me empty myself 
Find me ..
But I forgot 
You are at the loss of your eyes 
When it comes to me !

And yet 
M here 
Standing in this pouring rain 
Watching you 
Doing it 
All over again !!!",
14,"I find myslef weirdly courageous 
Giving in to manipulations of something 
greater than just emotions 
Yes babe 
I was tricked 
By not anyone else but my own self..
""Yeah , He looked at you ""
""Maybe he does like me !""
""You know when we start dating.....""
This shit sayings fucked my mind..
Intoxicated it ..
Yòu are just the infiltration..
A tresspasser ..
An intruder ..
Just a lovely chaos of crossed wires
Maybe I made you into something special..
More than just normal..
And then again you are actually that one of a kind..
I am so fucking proud 
Of my vexatious disclosure 
Regardless the outcome 
These are after all mere emotions
Don't have a sense of practicality 
They are blind , deaf and mute 
And honestly dumb..
But then again ..
That's why we are called ""THE HUMANS"" 
so lost and tangled 
Twisted and hurt 
Moving on from something that wasn't even real..
Just how pathetic that makes us? 
U see , 
That's the power of manipulations",
15,"Are you a fool?
This is something 
You should get used to ..
They will walk away 
Weren't here forever to stay 
At the expense of the promises
That they break 
No matter if  its your heart that is at stake ..
They 
Will 
Fade 
Away 
Ofcourse you would try 
Give it your all 
Your heart , your soul 
That is never enough 
They still have the hunger for more..
But the generous you 
Wouldn't stop at that that 
Would you?
You will break a piece of you 
And hand it over 
Trusting them 
Only to feel this empty and hollow
They use it and just throw
You fiddle to the ground 
With the blow 
Hard , and cruel ...
Unable to move even an inch 
Denying everything 
Every bit of this !!
Then comes the anger 
And the rushing realization 
The urge to scream 
But its too late ...
They already left !!",
16,"This night is exceptionally cold
It rattles my bones 
Has me craving for a warm embrace 
Has me thinking about the friends
The moments and then the emptiness 
Its so lonely around here 
A deserted forest 
An iced glacier 
Long throny roads 
Unaware of the end
Hanging just to be there 
Struggling hard for their existence 
And trying to cope 
The slightest light shimmers 
Giving an ounce of hope 
Then the colors fill the sky 
Dark and light 
The drops fall 
Abandoned by the clouds 
Leaving thunder along their wake 
The forest deserted 
Dances with the soft touches of the rain 
The glacier melts 
Never want to be here again 
I would find my rain 
That would make me feel home 
Who wouldn't leave me 
Feeling like shit 
And Pathetically alone!!",
17,"Like my nightmare 
Of you sitting on the cold metal
In the cold weather 
With eyes so cold 
Making me shiver 
That's when it hits 
The words fall out of your unwavering lips
Telling me you fell out of Love 
Oh ; 
The way my heart shattered 
It was so quite 
So sudden 
I didn't even get to acknowledge it 
You left me there with a kiss on my cheek
While I was drowning 
You didn't help me breath ;

You left me there 
With a kiss on my Cheek

I wish I could hate it 
The kiss ; I mean
But my whole body burns 
My soul warms up
It clutches to my hopeless heart 
Forces it to love you back
All the way 
With hurt and disdain 
But It's still Love disguised as pain 
How would I even tell you?
Where do I begin?
I am the sinner baby 
And you are my sin 

Nevertheless,
I am now the bystander in the tale
Where You go; 
But, 
With a kiss on her lips 
And I am like a garden 
With dead  tulips",
18,"A blatant NO would have hurt me less..
I told you I like you 
And you suggested me names..
A thought flashed through my half alive mind..
Is he being cruel or just being kind? 
If this is what kindness is ...
It really hurts...
You tear  me up from the inside and then apply aids..
I don't feel anything..
I guess I have become numb ..
From all the possibilities i drafted in my head and the pain that succumbs..
Just why do you have to be so kindly cruel?
Then again , It's not your fault : 
You were just oblivious..
No one can help me this time around..
I should smile more for the people I surround..
It doesn't matter , shit happens and life goes on..
But I just think of you even more often now..
Knowing you will never be mine..
Knowing you were just the sweet illusion 
I framed in my mind...
I have to lock them up and mark them as my blindspot
I don't wanna see them and get torn into half ...
Would you ever fade away from within me?
Would I ever see you again and feel happy?
Would you pretend to not know me and my heart? 
Would I will be able to walk away from you ,
Without falling apart?",
19,"I am choking 
Behind these long long walls 
Small small rooms
Closed windows 
My efforts 
Leave me With nothing 
But scars 

I cry cry and cry 
I scream 
Scream 
And scream 
But 
No one listens 
No one comes to my rescue 
They all just turn their backs form me
Saying "" I will call you later "" 

It's hard to breathe 
It's hard to swallow 
It's hard 
It's just so hard 
Why can't I just get used to this 
This fucking state of being so 
ALONE !!!

It's scares me 
At such extent 
That my bones go weak 
I forget how to walk 
All I want is someone 
Someone with whom 
I can just talk 
Can't you please be there ? 
For once ? 
I beg you 
Please Just listen !",
20,"""STAY;
I don't want you to leave ..
BREATH ;
I want you to feel ...
CRY;
I like how your nose changes to a 
Fresh red tomato!
SCREAM;
you will have your catharsis..
FIGHT;
or I will provoke you 
And you don't want the ruin of urself..
WALK;
cause , It's dumb
To stay , where you don't belong !
RUN;
Everyone is chasing something here..
Welcome to the madHOUSE!
DANCE;
Come on, u deserve this 
Show us your moves!!
SMILE;
You have an intimidatingly glorious and a dangerously peaceful smile ..
LAUGH;
It's the most happiness has to offer
Keep it 
Happiness doesn't show kindness ..
It's not a giver ...
BREAK ;
What? I won't leave you out ! 
I love you and ( I won't spare you)
SCATTER ;
That's how it is nowadays ..
Don't flatter yourself ..
CHOKE;
Oh! You are in for some adventure 
Have fun!!
DIE ;
and 
Dead
The 
END.""",
21,"A new message 
Lits up my phone 
Its her again ..
Bombarding me with stupid questions...
She likes to think we are friends
And I like to feed into that cluless fire..
It will rain soon anyways ..
Just a matter of time..

She tells me she has something important to say 
Asks can she call and convey?
I said okay..
Unbothered and unswayed..
She tells me she likes me 
Says it's been half of the year..
She amuses me honestly 
So brave and foolish at the same time..
I tell her a crafted no 
Hoping I don't crush her hope
Her hope for love 
Her hope for life 
Her hope for everything that's just a fake haze for me
But for her..
It seems like her dream 
I suggest her names..
Saying you would find someone far better than an ordinary me ..
But she doesn't even listen let alone 
Jotting them down into her diary..
I wish I was someone greater and better 
But m just me 
And that's what she doesn't know ..
Or knows maybe...
Anyways I turn her down 
Fading away the fire in her eyes..
I hope she keeps going on 
And the story of her fabrications dies.",
22,"The thoughts 
They found a way 
To get INSIDE of me 
Gulped me raw 
Consumed every inch of consciousness
Left ..

The insecurities
They tore me to shreds 
Buried me six inches into the ground 
Now
I don't even know myself anymore 
Forget the people I surround ..

Those nightmares 
Tortured me to such an extent 
That 
Waking in one 
And living one 
Is the only close to a realistic thing 
I am capable of doing ..

The society 
Fucked my principles 
And just put me into a
Cave 
A dark and a large Neverending cave 
A cave of misconceptions 
A cave of misunderstandings
A cave of unacknowledgement 
A cave of thrones 
A cave of boundaries 
And I suffocate 
In there
I die 
Every second an agonizing death 
Then I breath 
Another pitiful hopeless breath 
And die again 
Each cut 
Each wound
Making the pain familiar",
23,"It pains me 
The thought of you
The fact that I allow it to take so much from me 
Stabs me on the unhealed wound
It bleeds endlessly 
It does hurt 
But not there 
It hurts me inside 
It suffocates my existence 
It drags me to a serene and cold darkness
My soul is so tired 
So is my body 
But the sinner wouldn't obey 
She wouldn't leave me alone..
My heart lies at her feet
Screaming for mercy
Fool is what my heart is
It's worthless, the pleading
She is cold and harsh
She is a mindfuck in herself
She thrives inside of my head
Lives off my body and soul
Who ?? You ask?
My mind is who she is 
And my ruin , nonetheless",
24,"""The tear slipes down your cheek 
Trailing towards the chin yet again
U turn away from me 
And it hurts more than I can admit
The silent treatment drives me crazy 
Pushes me off edge , my insanity 
I wish i could make it all better 
Make it all hurt less 
Make it less of a mess 
Make it just STOP 
But I cant ..
Since I am the cause of the havoc 
That destroyed you 
Wrecked you 
Broke you 
Tore the shreds you were holding onto ...

You tremble and shiver 
The pain , the sin , the sinner 
That one look 
Is all it takes 
To make me breatheless 
Yes , i have no shame 
I have nothing to lose now 
I dont know how we ended up walking this road 
But we are here somehow 
I know i am not worthy of it 
But I still dare to ask 
Can you spare me 
This last kiss?
The last dance?
I will live with that 
Till eternity falls into the lonely embrace of nothingness. 
I will live with  that 
Till there is no me left 
I will live with that 
Thinking of it as US 

Here it comes 
Torturing me to such an extent 
I struggle at every step 
That puts the distance between us 
The goodbye 
I didn't ever want 
Pokes me with a thousand needles 
Straight into my heart 
Its like i will never be alive again 
Not like i want to be 
I know its never easy 
But 
This is worse than difficult 
It is life threatening..""",
25,"It suffocates, this blanket made of lead,
The weight of all the things I should have said.
It is so heavy, and it is so warm,
A self-inflicted and relentless storm.
I could just throw it off, and take a breath,
And cheat this slow and comfortable death.
But it is all I have, this heavy sheet,
This miserable and glorious defeat.",
26,"The problem is not that I fell so hard,
But that you never even left a card.
You didn't say goodbye, you didn't fight,
You simply vanished in the fading light.
A clean escape, a perfect, silent crime,
That left me serving out a life of time.
A loud goodbye would hurt, but it would end,
This silence is a wound that will not mend.",
27,"My mind is now a courtroom, and I stand
Accused of crimes I do not understand.
The prosecutor looks and sounds like me,
And shows the jury all my frailty.
The judge is me, the witness is me too,
There's nothing that a person here can do.
The verdict's in, it's guilty, that's the plea,
And I am sentenced to a life of me.",
28,"I built a future in my head for us,
Without discussion, without any fuss.
It had a porch, a dog, a climbing vine,
A world where your whole hand was holding mine.
It was a masterpiece of hope and thought,
This lovely, fragile future that I wrought.
And then you left, and with a single blow,
Destroyed a place you didn't even know.",
29,"I am a puzzle with a missing piece,
A flawed design that will not find release.
And people look and think they see the whole,
A functioning and self-sufficient soul.
They do not see the gap, the empty space,
The jagged, lonely, and unfinished place.
And I just smile, and let them think it's true,
The missing piece, of course, it was always you.",
30,"You are a song stuck on a sad repeat,
A bitter melody that was so sweet.
I hear it in the silence of my car,
No matter where I go, no matter how far.
I try to change the station, but the sound
Is everywhere, above and underground.
It is the soundtrack to my own despair,
A tune that follows me just everywhere.",
31,"I have a garden, but the soil is sour,
And nothing grows there, not a single flower.
I plant the seeds of hope, I water them with tears,
And have been doing so for all these years.
But only weeds of bitterness will sprout,
And wrap their thorny arms and choke them out.
I should just give it up, and let it be
A monument to all my misery.",
32,"The worst part of the pain is not the ache,
But all the hollow promises you make.
You say ""I'm here,"" but then you disappear,
And feed the lonely and pathetic fear.
You are the hand that holds the bread so near,
And pulls away, and makes it very clear
That I will always starve, will always be
The one who wants, the one who cannot see,
That you are not the cure, but the disease.",
33,"I am so tired of this beating heart,
That plays its slow and agonizing part.
It hopes and breaks, it loves and then it bleeds,
And plants the most ridiculously hopeful seeds.
I wish that it was made of stone or steel,
And did not have this awful need to feel.
This fragile, stupid, and relentless drum,
That beats until the final silence comes.",
34,"My soul is now a cup, with a small crack,
From which the will to live will not come back.
You can pour kindness, or a gentle word,
The sweetest sentiment I've ever heard.
But it all leaks out, a slow and steady drain,
A useless effort, and a wasted pain.
It cannot hold the joy, it cannot keep
A single promise from the broken deep.",
35,"I wear a mask of smiles, a thin disguise,
To hide the barren landscape in my eyes.
I learn the lines, I play the cheerful part,
With carefully rehearsed and hollow art.
And people think I'm fine, they think I'm strong,
They do not hear the melancholy song
That plays inside, a sad and constant tune,
Beneath the bright and unforgiving noon.",
36,"Anxiety’s a small and buzzing fly,
That circles endlessly around my eye.
There is no reason for it to be there,
A tiny monster in the heavy air.
I try to swat it, but it moves too fast,
A shadow that my own two hands have cast.
It is a small thing, but it never rests,
And builds a thousand miserable nests.",
37,"You were a story that I loved to read,
A hopeful promise, and a noble deed.
I learned the chapters, memorized the lines,
Ignored the warnings and the subtle signs.
And when I reached the end, the final page,
And closed the book upon our gilded cage,
I realized the hero wasn't true,
The villain of the story, it was you.",
38,"I watch the happy people passing by,
Beneath a hopeful and untroubled sky.
They hold their hands, they laugh, they are so loud,
A single person in a walking crowd.
And I'm a statue, watching them all go,
A secret that they will not ever know.
I am the quiet, uninvited guest,
Who fails the world’s ridiculously simple test.",
39,"My body is a house I do not own,
A haunted place where I must live alone.
The floorboards creak with footsteps of a ghost,
The one who knows the things that hurt the most.
The windows show a world I can't embrace,
A pane of glass between me and that place.
The ghost is me, the house is my own head,
And every night I go to a cold bed.",
40,"They say to just move on, to let it go,
A simple piece of reaping what you sow.
They do not know the roots have grown so deep,
That pull me under, even in my sleep.
It's not a memory, it is a place,
A living, breathing, dark, and endless space.
You do not just ""move on"" from your own skin,
Or the relentless war you cannot win.",
41,"I am a ship that’s wrecked upon the shore,
And cannot hear the ocean anymore.
The waves that brought me here have now withdrawn,
And left me broken, waiting for a dawn
That shows the damage, splintered wood and torn,
A lonely, ruined thing, and so forlorn.
I was built for the deep, the storm, the spray,
Not to be left to rot and waste away.",
42,"Grief is a room, and I have lost the key,
There is no window here that I can see.
The air is thick with all the words unsaid,
A heavy blanket on an empty bed.
The clock has stopped, the hands refuse to move,
Stuck in the moment I could not disprove.
And time outside goes on, a muffled beat,
The sound of someone else’s passing feet.",
43,"It's not the screaming, not the angry cries,
But the indifferent coldness in your eyes.
It's not the slamming of the kitchen door,
But the silence when you don't care anymore.
This quiet apathy, this gentle hate,
Has sealed the lock upon our closing gate.
A loud goodbye would be a kinder thing
Than the slow, silent poison that you bring.",
44,"The world has lost its color, it would seem,
A washed-out, faded, monochromatic dream.
The sky is grey, the grass is grey, the sun
A paler shade of grey when day is done.
And happiness, I hear it like a sound
From someone's house, across the muffled ground.
A distant party that I'll never find,
A world of color I have left behind.",
45,"I’ve replayed every word inside my head,
The conversation on our final bed.
I change my lines, I try a different tone,
A different ending, not to be alone.
I practice it a thousand times a day,
The perfect, magic thing I meant to say.
But it is just a ghost, a useless art,
This frantic, stupid practice of the heart.",
46,"You tell me that you love me, then you leave.
You say you're sorry, what should I believe?
You are the warmth, you are the freezing cold,
A story that is getting very old.
You offer me a flower, then a thorn,
And I'm the fool who's waiting for the morn
That never comes. This isn't love, I know,
It is a garden where the poisons grow.",
47,"My heart is now a city, bombed and shelled,
Where every hopeful monument has felled.
The streets are empty, filled with dust and grief,
Past every corner, a relentless thief
Called memory, it steals what little's left.
I am a kingdom of my joy bereft.
And in the broken square, a statue stands
Of you, still perfect, with your empty hands.
",
48,"I nailed the windows shut, I locked the door,
So that your ghost can't haunt me anymore.
But you are not a spirit, not a guest,
You are a cancer growing in my breast.
You are the phantom ache in my left hand,
A language only I can understand.
There is no lock, no key, no bolted gate
To keep you out. It is already too late.",
49,"There is a stranger who lives in my home,
He wears my clothes and uses my own comb.
He speaks with my voice, a venomous twin,
And praises all the trouble he gets in.
He is the architect of my own pain,
The one who stands and dances in the rain
While I am drowning. I would cast him out,
But he is me, of that there is no doubt.",
50,"I am a house, but all the rooms are bare,
The furniture is gone, I know not where.
The walls are stained with where the pictures hung,
A silent testament to songs once sung.
And people knock upon the front door frame,
And call my name, my old and happy name.
They cannot know that no one's living here,
Consumed by silence, year by lonely year.
They see the structure, solid and so tall,
And do not see the ruin of it all.
I am a hollow thing, a pretty shell,
A vacant, quiet, and personal hell.",
