sr.no,poem,label
11,"Buried within the heart's depth
Lie memories of the one who left
My beloved left me alone
To stare at the sky on my own

It's been ages since I saw you there
In the world outside
Or my inside
I looked for you everywhere

Dreams seen, opinions shared
Memories created, plans made
Some relations are impermanent
Like the colours of an old film fade.

Where once existed a garden,
Autumn resides my heart
Pain disguised as memories
They tear me apart

Whenever I think about you,
I loose the track of time
I feel as gloomy a poem
Without any rhyme .

My eyes flow like the sea
As I search for you
I wish I could see
My beloved beside me.",
12,"The twigs remind me
of ancient a memory,
muted by time
and our efforts to forget.
You remember how
You’d snap a twig into two,
then we’d sword them off,
like two chivalrous knights,
queer knights that feared
a shared sunset together more than
Battle.
What happened next?
the next memory seems to
slip away from me too,
imitating you.",
13,"A familiar smell
Brewing from the orange sky.
A cup of tea.
Leaves start to dry.
Felt on me -
A breeze - so shy.",
14,"A reminder of a boy i once liked—
He used to slip me love letters before class,
Sketched in shaky handwriting,
Decorated with crayons I had once given him.
At the bottom, two ducks floated side by side.
Back then, I thought it was the sweetest thing.
Now I roll my eyes and smile—
How silly it seems.

He picked wildflowers,
From the schoolyard fence,
Told me they were as pretty as me,
And tucked them into my hair
My cheeks burned hotter
Than the blazing afternoon sun.

At night, I would stay up  too late,
Texting him on my old flip phone,
Pretending to snore
Whenever my parent peeked in.
I swear my heart was pounding louder
Than the phone's plastic keypad.

Back then,
I swore he was the only boy
Who could ever exist in my world—
A match made in heaven, I thought.
Though low-key,
I was too shy to say it out loud.",
15,"When the room is empty,
and the people have left
and you’re waiting, wondering,
what will come next?

A haven of memories,
long phone calls and late-night dances
hard work and parades of tears
then left with hardly a glance.

So many firsts
trapped in one room
the thoughts and the feeling,
stuck in its loom.

It’s no longer yours,
the decorations pulled down,
bare and barren just like when you moved in,
might never have left your hometown.",
16,"The first fruit I ever stole
came from an old man I don’t know the name of.
I know he couldn’t move
from his La-Z-Boy by the front window.
I know how his gravelly voice boomed across the yard
as he scolded me for taking peaches from his tree.
I don’t know why he cared.
I know my sister would smile when I brought them home.
And I know my brother had this habit—
biting only one side
until he reached the pit.
I don’t know what happened to the old man,
but I know the peaches started something bigger.
I know I later became a thief—
but also had this habit
of giving people fruit when they’d come over.
I don’t know if the old man knew my name,
or if he just called me the brat who stole his peaches.
I know they cut down that peach tree
when I was in ninth grade.
And I know
I’ve never had a peach so sweet",
17,"I lost morning runs around the living room
The TV blasting what I used to watch
I lost riding to school with my grandpa
Swimming with floaties, unable to touch
I lost my earliest years in Brussels
How autumn leaves wrapped me up
I lost the making of toy shops on the floor
And the way I cried when I had to clean them up
I lost stacking paints in a closet
The racket we’d make outside of class
I lost the newspaper I made at eight
It’s lost, just like the years that have passed
I lost hundreds of skipped lunches
I’ll be ****** but I miss them
I lost realising people weren’t my thing
And that I’m better off without them
I lost just now what helped me out
It dug me out of my grave
But you swooped in and pulled it away
After all I had and all I gave

So please don’t take this, it’s all I have left
Anything, anything but this
It’s the only thing I can cling onto anymore
Anything but this",
18,"The candy shared in days of youth
Has melted in our mouths,
And left a taste so bittersweet
It lingers on the tongue.

But with each year that sweetness fades,
And bitterness we chew,
Then swallow down like sugared stones
We wish to taste anew.",
19,"there's that feeling
of old memories
and happy voices --
big smiles too,
whenever you hear
thag one tune.

that one simple melody.

that one chord.

it all floods back.",
20,"I call my grandma Nanny
She told me to call her that so she didn't feel old
But to me she never looked old
She looked about in her late fifties or early sixties to my young eyes
We laughed, we danced and read stories
And at bedtime she sang sweet lullaby's
I played dress up with her old clothes and jewelry sets
Her necklaces always dangled down my chest, because it didn't fit just yet
""I'll give this to you when you are grown,"" she always said
I'm now seventeen
And when I see Nanny it feels blue
I always remember the harsh words she threw
Calling me ""useless,"" and saying that it's because of the phone
Though I was twelve and it made me feel less alone
I remember the times she commented on the food I ate
I can't eat food now without thinking about my weight
It's not her fault she made me feel this way
She was old, sick and could only see grey
But it now consumes me and it won't go away
It lives in my chest
Like the necklace that didn't fit just yet",
21,"i miss the simple life
in the way we all do.
bringing water
from the well –
the blue one –
at every street corner.
collecting firewood
so the winter stock would last,
toasting bread on the fireplace
brushed with a garlic clove,
and salt.

i remember the signs
in windows,
people selling eggs.
creeping into the barn,
scared of spiders
and chickens,
but still collecting them,
while still warm,
and fresh.

we’d scavenge
at the edge of town –
never allowed,
but we went anyway.
swimming in ***** waters,
slick with chemicals
and gasoline,
we didn’t have allergies
to the world.
just rolled around
in grass and dirt,
not caring
what lay beneath,
or might bite.

once, we let the cat taste
the tomato soup
from my mother’s bowl,
while she was on the loo.
we snickered,
choking on laughter,
watching her savour
every spoonful.
we were partners in crime,
my brother and i.

i even miss the smell
of the old theatre.
its worn-out curtains
heavy with nerves
as we danced,
competed,
recited poems,
pretended to be
one of the great
figures of the past,
and lay on the cold,
hardwood floor,
covered in dust.

i could list
these memories for ages.
what it felt like
to be a child.
weightless.
magical.
curious,
and bright.
i wanted to grow up
too quickly.
when i should
have held on tight.",
22,"Hello, my dear.
How are you?
I hope you’re well—
because I am not.

You’ve always been here,
speaking to me,
showing me signs
I refused to see.

Now I see.
Now I want to keep you close again.

I’m in tears—
it’s been so long
since we last spoke.

I think I grew up
and left you behind,
abandoned
the way everyone else did.

I’m sorry.
Will you forgive me?

I’ve done so many wrong things
to you
and to myself—
things I’d never
do to a child
if I were truly responsible.

So tonight—
if you’re willing—
let’s spend time together.

Do you remember
first grade,
when every afternoon
you’d run to the ballet studio
just to watch the girls
in their pink tights,
gentle and graceful,
warming up for class—
and you’d stand at the door,
dreaming of being one of them?

I remember.

Our mother said
we could never be ballerinas—
our feet weren’t right,
our toenails always ingrown.

So what could we do?
Dance in secret,
alone in the bedroom,
with Barbie
and the Twelve Dancing Princesses.

So tonight—
will you dance with me?

Let’s be ballerinas for one night.
Let’s be what we always dreamed to be.

Will you take my hand
for this dance?

With love,
Me.",
23,"The life we built together
feels centuries away
I can’t remember it anymore
but I know it existed
Sometimes
I’m startled
I no longer have you
Sometimes
it makes me desperate
Sometimes
it makes me
incredibly happy",
24,"Moments filled with joy,
Float away like pink balloons,
Never to be seen again.

I miss those pink balloons,
The type of pink that looks terrible on curtains,
but looks good on you.

I mourn the lack of pink,
I try to find a new colour,
My new favourite colour.

It might take a while till I find it,
but I'll always remember those pink balloons.",
25,"Drunk, we walked west to the ocean,
drop soup and sake,
sloshing in our guts.

You would marry in twenty days.
I stayed close,
swallowing the words
that would’ve ruined it all.

In seven years,
I will have a son.
You will bury yours.
We will wonder - quietly -
if souls can be traded,
if grief moves
like a current
between blood that is not blood.

The tide was electric,
a woman waded in,
cupped bioluminescence
like an ember from the deep.

We stood apart from the others,
two men
bone-wet and wind-bit,
trying to scratch our names
into blue light,
signatures gone
before the next wave came.

I never told you the future.
I let the dark reclaim our feet.
You laughed,
drunk and perfect,
and I looked away
as the sea
turned the sand
back to stone.",
26,"Am I too young to miss the past
Am I too old to enjoy the rain
Too young to notice the change
Too old to be immature

Or maybe too young to think when to blink
in fear I’ll miss the bliss if I stop to think

Or maybe age isn’t real
Just there to control when we do what
When we should be embarrassed to cry,
or when to start to live our lives,
and with a blink of an eye
you’re caught barely alive,
wore out from existence of time",
27,"Summer mornings, as I round out
the bend in the well-traversed road,
the new sun imposes itself
in the cloudy rearview mirror,
and, for a moment, I am blind,
the way ahead obscured by gnats
of light teasing my weary eyes
the yellow white of the desk lamp
I set atop the chest of drawers
and tilted at such an angle
that I glowed as I emoted
to a rapt crowd of stuffed creatures
enthralling tales penned in crayon
on snap fresh construction paper,
words I knew would only better
as I much too slowly matured
into my God-given talents,
for my life would not be wasted
swatting the blinding memories
every blasted summer morning
as I crawl across the bridge
to the work side of the river",
28,"nostalgia feels like a rotting tooth

and it won't come out; no matter how many times i
wiggle and twist
and pull at it

or when my father tells me he's
going to tie a string around it and
slam the door

or my mother threatens to send me to the dentist
its too big of a problem for an ordinary person

im attached to the rot

she is my friend; i watched her grow
and she grew with me too
plus, ive never liked leaving things behind

and i remember-
how? can i remember her if she is nothing
how? will i be able to understand the present and survive the future
without the context of the past

the rot will spread and I will endure it

even so, it hurts",
29,"I’d break into our old family home
if it was still standing tall.
Electrical cords and floorboards;
that I would finely comb.
Searching for traces of us; big or small.

I should’ve taken the tub,
and the dryer was brand new.
I know they ripped up each stump and stub
and the yellow roses the year they finally grew.

This is just a missing piece,
this is where I used to live.
Memorized the trees and the streets,
and the faces I would greet,
to go see it again; what I wouldn’t give.

I’d break into our old family house,
if it was still standing tall.
As I dowse, no sound or a mouse,
was it ever even there at all?

Why did they lose the shed?
Why did they cover the lot?
It looks better in my head
than the day it was finally bought.

This is just a missing past,
this is where we used to coexist,
those rare family moments that I miss.
They’re now lost to the abyss,
I don’t remember the last.

I’d go back in time but
I wouldn’t want to impose.
Truth is the door is shut,
realize that road is closed.

I’m sad I don’t live there anymore,
I grew up; have my own walls and own floor.
A woman who loves me and her I adore,
but these thoughts still wash ashore.",
30,"I walk these streets ,
Filling me with thousands of memories 
Cutting right through 
Settling in  the rusted corner 
That I abandoned ages ago ..

The talks 
The walks 
The dances 
And slight glances 
The intertwined hands 
Now alone here I stand 
Thinking about you 
Only you ...

Going through the phone 
Came across our clicks 
So young and beautiful 
So US
I wish I knew this back then 
You wouldnt feel so distant 
And far away now 
Out of my reach
Just maybe ..

But then again 
MAYBE's are hopless 
Aren't they?",
31,"The swings still sigh in rhythm
to laughter that no one makes.
Rust remembers the hands that held,
the sneakers that scraped,
the oaths of friendship shouted
into the brave, collapsing dusk.
Grass has grown through the hopscotch lines,
but if I listen long enough,
I can hear the count —
one, two, three —
before the world turned serious.",
32,"I found your letters in a shoebox
behind the winter coats.
Ink faded, folded dreams asleep.
I almost read them,
but my heart knew each line already.
You wrote in cursive —
a language I forgot to keep.
Now I hold the paper like a ghost,
afraid it might remember me.",
33,"The old radio clicks to life,
crackling through static and ghosts.
Every melody is a photograph,
every note a name I lost.
Mom hums along in another room,
her voice a bridge between centuries.
I stay quiet —
some memories shouldn’t be disturbed
once they start to sing.",
34,"The town didn’t shrink —
I just outgrew the angles.
The same red stoplight,
the same dog asleep by the gate.
Only the silence has multiplied,
echoing where our noise once lived.
I walk home barefoot through dust
and remember believing
we’d never leave.",
35,"Rain drummed on the tin roof
like a forgotten alphabet.
We sat close, trading secrets
in a language made of thunder.
Now every storm feels like a message
sent to the wrong address.
I still listen —
just in case it spells your name.",
36,"You still grin from the photograph
like time forgot to warn you.
I keep it pinned to my wall
beside a list of things I outlived:
a friendship, a season,
a version of myself
that still believed in forever.
The paper curls,
but your smile stays steady,
defiant against entropy.",
37,"The bus smells the same —
diesel, sweat, a hint of longing.
I sit in the seat I used to hate,
watching the same tired trees go by.
Somewhere between two stops
I see my reflection —
older, quieter, still waiting
for someone who never boarded.",
38,"The hammer still fits my palm.
It remembers better days.
Nails sleep in jars of rust and dust,
and silence nails the air shut.
Sometimes I work for no reason,
just to feel his grip
guiding mine from memory.",
39,"It’s not a place you can visit.
It’s a fog that drifts through open windows
and sits beside you quietly,
smelling faintly of chalk dust and rain.
You think you’ve outgrown it
until it finds your heartbeat,
and suddenly you’re sixteen,
afraid of nothing
and missing everything.",
40,"We used to trap fireflies in jars
and promise not to let them die.
Now I trap moments instead,
tiny, glowing, breathless —
and break every promise again.",
41,"We carved our names into wood
like fools who thought oak never dies.
Now moss hides the letters,
but I can still feel the grooves
when the sun hits right —
a small proof
that we were here once,
and believed it mattered.",
42,"One bulb,
two mugs,
three dreams too big for rent.
The floor squeaked in rhythm
with every plan we made.
We thought the world would wait.
It didn’t.
But that room still hums
when I close my eyes.",
43,"The pages sigh when opened,
as if relieved to breathe.
Their words know me —
I underlined too hard,
spilled tea on page 32,
fell asleep at page 89.
They remember the version of me
that believed in every ending.",
44,"My name looked different
when you wrote it.
Rounder, slower, softer —
as if you knew
I’d grow into my edges too soon.
Now I sign it fast,
and it feels like forgery.",
45,"We painted it yellow,
thinking joy was permanent.
It leaned for years
against the garden wall,
a relic of speed and freedom.
Now rust has turned the joy
a darker shade of memory.",
46,"The swing moves though no one’s there.
The wind remembers her hum.
The teacups wait for stories
that never found an ending.
I sit and listen to the wood creak —
some love lingers
in the sound of settling.",
47,"That song again —
the one that broke the silence
before I learned how silence heals.
I hum the chorus wrong on purpose,
afraid to summon
who I was back then.
Even ghosts deserve rest.",
48,"I found my old shoes,
their soles thin as the patience of youth.
They smell like chalk,
like the first rain on cement.
I remember running
without knowing where or why,
just to prove I could.
Now I walk carefully,
saving steps for meaning.",
49,"Dust floats like memory,
slow and golden.
Boxes breathe with the weight
of forgotten birthdays.
I open one —
a paper crown,
a ribbon,
a whisper of laughter
that still fits my name.",
50,"That old streetlamp still flickers,
a heartbeat of the neighborhood.
Under its trembling light,
we traded secrets,
coins for ice creams,
and promises too small to last.
Now it burns alone,
guarding echoes of laughter
it can’t quite forget.",
