sr.no,poem,label
11,"Walking down the memory lane 
I often visit the places 
The times when 
Everything seemed to be a complete mess 
Where 
I got drunk on all the negatives 
And allergic of the positives 
Where 
I preferred the deeps 
Feared the sunshines 
Drowned into the lows
And pitied the highs 
Hope made me feel empty and alone 
Giving up seemed the best way out 
Then 
I remember the mirror  I was shown 
The reason for me to try 
And hope 
To be with all the positives 
And love the highs 
I saw me 
The me 
Who was evolved 
Who is loved 
And knows how to love 
Not anyone else 
But his ownself",
12,"Do you ever tell lies? 
To yourself?
A lie,
The broken set of words 
Are either used to console 
Or destroy..
And if you are at the later end ...
It will hurt like hell
No matter how hard u try ..
TO fix things ...
And that is when u realise 
Broken pieces of a vase 
Can't be fixed ..
but still they look as beautiful 
As they were .....
Just simple , beautiful , And broken 
Not easy to mend 
But still 
Crucially important 
And it's not where it ends ..
U think ,think ,think and go on thinking 
Till your head hurts 
It begs u to stop 
And that's when you lie 
Lie to yourself 
""I WILL!""",
13,"Do you really mean all the things you claim that you mean?
Do you really feel it in ur stomach and then in your whole body till your toe nail?
Do you ?
Ever get butterflies? 
Do you ever daydream?
Or you prefer nightmares?
Do you admire the light?
Or 
Are you in love with the dark?
Are you even real?
Or 
You like to put on masks ?
Do you even feel anything?
Or 
You are just cold hearted and can't help it?
Are u a coward ?
Afraid of his own truths?
Or 
Are you a fighter 
An injured but desperate one ?
Do you even live ?
Or
You just exist?
Have you ever been really really happy?
Or 
You are used of the miserable state?
No?
Maybe?
Yes?
Whatever !
Nevermind ..
It goes on!",
14,"It's tough 
To go on 
And keep going 
It's tiring 
So far away and blur 
No matter how hard I try to reach 
It gets further away 
Fades in thin air ..
Slips from the fist of time 
And I am left with nothing
But a mere memory 
A memory that penitrates deep through my heart ..
That blends in my soul 
Takes over my mind 
I find myself lost in it 
It's not about miseries;
It's not about happiness
It's about peace 
I get lost in the peacefulness it delivers.. 
and just when I think ..
I have finally found it ..
A jerk on my shoulder wakes me ..
Brings me back to reality 
Where;
It's tough 
It's tiring 
But m still breathing
Ain't I?",
15,"Do you ever tend to run away?
Away from
LONLINESS?
Away from
THE MISERIES?
Away from 
THESE INSECURITIES?
Away from
UNAVOIDABLE AND ENDLESS CYCLES OF THOUGHTS?
Away from 
THE FAKENESS OF THIS REAL WORLD?
Away from
THE UNDESIRABLE HATRED?
Away from
THE CONSTANT STATE OF BEING BROKEN?
But let me tell you;
You will be chased down ;
Heaven till the hell
And still find yourself ..
again in the square one !!
FOR ONCE
STOP
BREATH 
THINK 
ACT 
AND YET KEEP RUNNING",
16,"I was numb 
Walking on a throny road 
Feet covered with blood 
Bearing a satisfying smile 
The hurt 
The pain 
The holes made by the thrones 
It was all gone 
Or it was there 
But left unnoticed? 
Unfelt? 
Suppressed beneath The heavy smile ....

I walked and walked and kept walking 
Until my feet bleed to The rivers of blood 
Then I fell 
I fell into a dark  embrace full of light 
A light 
A cure 
I wasn't aware of ..
It was peaceful 
I was relieved Then 
Thought  I have found my peace 

But then 
Something shook me to the core of 
My stomach 
My peace 
Was within me 
The light that I fell for 
Was no one but my own self ..
I was searching It in the outside world 
But forgot to search the world that was within me ...",
17,"I am aware mate
The way you want to let go 
The way it wouldn't leave you 
The way you want to be uncaged 
But the walls are too strong 
Too long .. too numerous 
All Humongous and monstrosity 
Wrapped in whispers

The clouds just seem to get darker 
The darkest yet 
They want to  burst open 
But something denies them 
Perhaps the gaps left 
Waiting to be filled
Waiting to provoke 
Waiting to flicker the thunder
They know my mate 
You see your sufferings duplicate 
Right in front of your eyes 
See, You are acknowledged 
Noticed and witnessed

The audacious creppy little thing 
Drives you mad , 
Pushes you to the brink 
Lets you taste the venom 
See the visions and dreads 
You feel yorself hanging 
Just by a mere little thread 
The thread of hope 
The thread of light 
The thread that engulfs the dark  
The thread with everything bright 
You survived then 
And You will now 
Just don't forget 
You are noticed 
You are witnessed",
18,"I remember the YOU : you 
Used to be ;
Vulnerable but fixed easily !
Blinded by love ;
And held by trust ;
Open and transparent !
Filled with  Innocence;
An unimaginable beauty 
With a pure heart !!!

If you ask me ;
That was terrifying ..
What if someone broke u?
What if u Scatter in such a way ,
That I won't be able to pick up the pieces?
What if I loose the YOU in you?
What if ..
U shut the every damn thing u give any fucks about 
Including ME !?
That 
Is
SCARY!!!

But now I see YOU; 
Now you are ;
Strong and unbreakable ;
Weak but not in the way ,
That would hurt you!
You let go 
The things you can't control!!
And keep the ones 
You cherish 
Blended with your soul !!
You speak your mind ;
You have really become 
That ONE OF A KIND !!
I swear 
I am bound to become 
Blind ;
By the light you carry 
Without even trying !!

And if you ask me;
I still see YOU ..
The way you want to be seen ;
And the way you don't ..
And I know now if you break,
You wouldn't fall totally apart ..
You won't...
The YOU in you ;
Will always be there to hold u up.....

Honestly ;
I am so fucking proud of
The YOU : in you !",
19,"Yet another end 
Yet another brutality melting into warmth
Yet another hopelessly tortured 
Disguising themselves into Kings of fates
Yet another punctured shells
Trying so hard to rear diamonds

Why the negatives , you say?
Aren't we all made to live that way..
Hope is a salt  burning a fresh cut 
Love defines the boundaries of delusions
Happiness is  sand slipping through the fist
Time is a manipulative little bitch 
Truth is a rose in the forest of thrones 

But
As the ends  meet me at the horizon
I feel new
Filled with hope , love and happiness 
Where time is a friend
And truth truly mends
That's what we believe in 
That's what we call beginnings",
20,"Its amusing for sure 
How we got so close 
Even though we were strangers 
We laugh , we cry , 
We fuck up and then we try 
We try to make things right
We try to not fight 
We try to let go of the rage 
But it gets more tangled
And we find ourselves in an unknown cage 
A cage of endless , Tortuous haze 
No sign of a clear sun 
We prefer the thorns more than a 
Flowery garden 
But soon enough the strangers 
Get hold of us 
The strangers sort things out 
They mend us back together 
The strangers are the people we 
Rely on 
When life is being cruel and everything just seems so wrong .
We find a solace in them ..
They are undoubtedly the hidden gems ..
They are the family you choose for yourselves and...
Generally these strangers are known as 
FRIENDS ",
21,"EVERYTHING'S NOTHING
You know that feeling ? 
Where the everythings and nothings 
Just seem to superimpose 
They fuck with your mind 
Your heart 
Your self esteem 
And just about every fucking thing??
And at the same time 
A voice slips midst of your chaos 
Says you are not alone 
Says you never were 
Says you still have them 
You still have your home 
There is always hope 
All you have to do is find a way 
To cope
Years of yearning, longing 
Betrayal and emptiness 
Fill up my lungs 
And to be honest 
I feel so small 
In this moment 
I wanna disappear 
Will all of this ever end? 
Will these everythings 
And nothings ever be kind?
And not fuck with my peace of mind?
Will they stop 
Suffocating me?
Will the ever accept me 
As me? 
Will they ever love my everythings and nothings equally?",
22,"I choose to walk 
I choose to run 
I choose to fly 
And then 
It's my choice to burn !

I mold into something new 
I can turn things into havoc too 
Times like these are merely few 
But it's not on me 
Since I warned you !

No remorse?
No regrets ?
Oh come on ..
After all we are just puppets 
Dancing on the whimes of our 
Secrets 
Who behold the power 
To push us beyond the limits !

We are just materialistic fools 
In this very MATERIAL world 
And yet my attempt is criticized 
When I try not to be a 
MATERIAL GIRL!!

At the very end 
M not your doll 
Who likes to pretend 
Just to fit into this 
Toxic society 
Where 
U can breath 
(Just don't make a sound )
U can laugh 
( be aware people make assumptions that go around)
U have your freedom 
( unless you coming home before 8 counts! )
U can be what you want to 
( Are you sure that it's YOU and not the people you surround?) 

So yeah 
Fuck the society 
Be what you really feel like 
And don't give two shits 
About the undeserving creeps ..",
23,"Sometimes I feel incredibly full
Upto the brim
Overwhelmed and all over the place 
I grow out of my limits 
With every happening ..
Happening I wish I could behold
I could pause and play on my own accord
I could dance and paint an invisible art
I could live and then die a million little 
Shattering agonizing deaths
Slow and Tortuous last breaths
Hot and cold forming a dangerous mix
The purple haze gulps me whole
The haze of being loved 
The haze of being peeked deep into my very soul
The haze of being so raw and expolred
The haze of being totally yours 
Sometimes I feel incredibly full
And you empty myself form within me
No words are left unspoken
Touches unfelt
You are everything I would die for
And everything that keeps me breathing",
24,"I always thought why people try 
To hurt themselves?
I mean it's never worth it anyways 
Is it? 
Back then I always stood away 
From the decorated scars hanging around 
I used to point at them and then 
Would just turn away 
Disgusted as always
But it's never about the scars is it?
Be it on the body 
Or deep inside 
It's about the pain 
And then the gushing relief 
Relief of finding the outsource 
Then appear the cuts , the marks 
The covered body 
Of decorated scars..
But still it's a coward's way out
Then you say I turned into one somehow
Well you would be surprised 
No one's going to applaud for your decorations ever
And the pain
Still lingers forever",
25,"Once upon a time 
Born was a princess 
 To a kingdom named FIRE..
No one could tell if this was meant to be
It really felt like unerasable destiny 
The princess lived upto the name of her empire
She had this insanely strong desire 
To glow in the darkest darks
To burn like the FIRE 
To give birth to the warmth in winters 
And also burn down the sinners
She had it all 
As if  chosen by the sun 
The burning beauty 
Greater than any man could ever be 
Strong and dangerous 
You couldn't get a closer look 
She was aware of it all 
Even the sound of the rushed breaths they took
But the glory has its end
The icebergs emerged out of nowhere 
Through the rush of ocean 
And pits of the deeps
Came the God Of ICE 
Her only wrath 
Who had the power to hold her down
And face her aftermaths..
The sworn enemies stood there 
In the open eye to eye ..
Glare to glare..
A battle of elements began ..
And hence the ruins
Who knows.. 
When where and how it would ever end?",
26,"I sit and stare 
I sit and watch
I sit and listen
I sit and coexist 
With everything around me
And not existing in that moment all the same
The simultaneous contrast spreading awareness through my bloodstream
Aware of just being
The colors that decorate the world 
Make it less grey ...
Camouflage of the sadness 
I would rather say...

The music and art 
Everything expressed 
With faint , strong, weak , thin , bold , blurry and fine strokes..
Splatters of the paint 
Illusioned of being some chaos are actually artistic mistakes ..
Making the art alive..
Everything said
With melodies , tunes , mere words , and a million voices ...
Sung from the heart ..
Contradictory sometimes ...
It a warm pat of companionship
In this sorrow excuse of life..

A smile takes over 
On it's own accord
I sit and smile 
Just thinking about it all
We are funny sometimes 
Creating worlds with just our minds
What a beautiful phenomenon 
We are lonely, Yes
But not alone",
27,"They talk about death like they
Know it all
Those oblivious little creatures 
Just keep running around
They remind me of pawns in 
This ruthless game...
Unaware of the fact that the 
Loss is theirs anyways..

They talk about grief like
They have walked on that road
Just ask the ones 
Who grow with it ...
Like the forest of thorns..
It may seem greener , prettier and calming
But if you come any close
You will only bleed..

They talk about Loss
Like they have experienced it all
I laugh at how more pathetic can one be?
It's all the same ..
The first broken toy and the learnt lesson..
Sometimes the toys fade with time
And sometimes they take you with them..

They talk about it all..
Well , It's easy to do just that..
Just TALK..
I wish the words would realise
Just how much power they hold 
I wish they would just bend themselves 
Into healing flowers that 
Grow upon a dead soul",
28,"Won't you come along ?
To paint a beautiful lie ?
A real fake world 
Where 
The sun shines bright 
It doesn't burn my skin 
It's warm ..
I feel secure  being in it's embrace 
Where I don't run 
A never ending race ...

Paint it with all your colours you show me 
You change them so swiftly 
That m fooled every single time 
Into thinking that 
You are making me a colourful art 
But little do I know 
You are tearing me up from the inside 
And you are so good at it 
Slowly you crawl under my skin 
Enter the heart 
And pierce it 
It's harsh but gentle at the same time ..
Help me cover all of it 
Won't you come 
To paint a lie ? 
In a real fake world 
Where m able to fly 
Until the limits of this blue sky ..
It's blue through out 
Never dark 
Not a single sign of thunder 
A world : 
Only filled of wonders?

Sometimes it gets so harsh that I wish 
I was living a lie ..
But this reality 
Just won't  let me be 
Even though m acknowledged; 
still m forced to let the flow take me 
I just 
Want to paint 
A beautiful lie!
Won't you do it for me ?",
29,"I cried today 
At the thought of love ..
I don't know why 
But it was so hard to hold back my tears 
I don't want to come to terms 
With my fears 
Fears 
Does anyone in this universe 
Even know what they truly are ?.
Where they take us 
What they make us 
Somewhere nowhere to be found 
That far ...
It's exactly what I know 
And I think 
I know exactly what they are ..

And THEY say face the fears ..
Being completely unaware of what they rear 
How much courage one requires to gear 
To fight them only to find yourself surrounded with yet another fear ..
It's bullshit 
Listen to me 
Don't fight them away 
Keep them close to you 
Cherish them 
Love them 
Feed them on your insecurities 
And trust me 
You would be surprised to know 
What power a fear holds !!",
30,"I see something in the mirror
It's outlines match with me 
The same ink black eyes
As dead as they would be 

I see pointed fingers 
Rubbing the outlines just enough to smudge
I feel foreign sometimes
Like m standing on my own demise

I see the tied hands
By invisible responsibilities 
I feel wronged then
Will I ever be close to suffice?

I see the wounded feet
Cuts peeking through
I feel grounded suddenly
Something strong pulling me
Then I feel it ; It's the gravity 
Gravity of being human
Gravity of the earth , the moon , the sun
Gravity of that cracked smile
Gravity of survival 
Gravity of me 
It's always the GRAVITY",
31,"M drowning 
The load 
Of expectations 
It's making me
Want to 
Fade 
My whole existence 
Is lying at its feet 
Stepping all 
Over me 
Toes to my head 

Never let me complete 
Even a single breath 
There it goes again 
Crushing and chewing 
All my insides 
Gifting me nothing But 
Pain ..

I know 
But can't help it 
What do 
Am I supposed to do 
Fight or give up? 
Stand strong or break down ? 
Ignore these tears or 
Drown in them?? 

Here I am 
Still 
Struggling to survive 
Against all odds 
For the hope 
That thrives 
And assures me 
That 
M still 
Alive !!",
32,"The sun and the moon 
The fire and the ice 
My one and only solace 
For which I need not  to think twice .
I dont need an embrace 
A mere touch would suffice 
To set me on fire 
And then freeze me to ice

The night falls 
Settles in quite easily 
The lonely darkness embraces me
For me , it calls 
Love me dear 
And i will hate you for it all 
Honestly 
I will settle for anything 
Anything ,even if its hate 
Atleast i would feel 
And it wouldn't be too late 

My soul , my shadow 
My body and these hallows 
My blood and my tears 
These emotions and these fears 
My senses and my bones 
And these lifeless homes 
My smiles and my laughs 
These cheers and the faults 
They are my true companions 
Never betraying me 
Walking alongside Tirelessly 
Thats why I keep them close 
And i would chose them 
For million times
 if this comes down 
To those..

Dont pity me 
I am proud of them 
Atleast they dont leave me dying 
Even though I am the one at  blame ...",
33,"Is time a river, flowing to the sea,
That carries on, with or without me?
Or is it just a room in which I stand,
With future and with past on either hand?
I walk its length, I think I'm moving on,
From yesterday's defeat to a new dawn.
But maybe I am still, and time's the thing
That rushes past, a bird upon the wing",
34,"The person that I was at seventeen,
Is now a stranger, a forgotten scene.
I hold his photograph and try to find
A single common thought left in my mind.
We shed our skins, we molt, we are reborn,
A different person every single morn.
So who am I? A collection of the past?
A fleeting consciousness that cannot last?",
35,"We are just vessels, holding for a while
A certain laugh, a secret, or a smile.
We think these feelings are our own to keep,
While in the quiet of our borrowed sleep.
But they are older, they have been here long,
A timeless and recurring, human song.
We are the cup, the feeling is the wine,
And both are temporary, by design.",
36,"Who is the person that you are in dreams?
A braver soul, or so it often seems.
A silent hero, or a frightened child,
Emotional, irrational, and wild.
And when you wake, you put him back in place,
And wear your calm and ordinary face.
But which one is the actor, which is true?
The one who dreams, or the one who sees it through?
",
37,"What is the shape of silence, when it falls?
The quiet dust that settles on the walls.
The space between the ticking of a clock,
The patient stillness of a weathered rock.
It is not empty, it is not a void,
A secret language that we have enjoyed
And feared forever. When the noise is done,
The truth of what we are has just begun.",
38,"Are all our choices truly ever made,
Or just a part within a play, long-played?
We think we choose the path, the hill, the bend,
The start, the middle, and the final end.
But maybe we are reading from a page,
An actor on a pre-determined stage.
And free will is the art of reading well,
The lines within our own specific hell.
",
39,"To stand beneath the vast and starry night,
Is to be humbled by the endless light.
Each star a sun, each sun a world, perhaps,
And in between, the dark and silent gaps.
And on this single grain of dust, we rage,
And write our little lines upon the page.
It is a miracle, it is absurd,
That we should have a single, hopeful word.",
40,"What will be left of us when we are gone?
A fading echo, carried on the dawn.
A ripple from a stone, that spreads so wide,
With nowhere left for it to run or hide,
Until it finds the shore, a gentle sigh,
And then is gone, beneath an empty sky.
Is that enough? A momentary trace?
To prove we occupied this time and place?",
41,"Are all our choices truly ever made,
Or just a part within a play, long-played?
We think we choose the path, the hill, the bend,
The start, the middle, and the final end.
But maybe we are reading from a page,
An actor on a pre-determined stage.
And free will is the art of reading well,
The lines within our own specific hell.",
42,"What is the shape of silence, when it falls?
The quiet dust that settles on the walls.
The space between the ticking of a clock,
The patient stillness of a weathered rock.
It is not empty, it is not a void,
A secret language that we have enjoyed
And feared forever. When the noise is done,
The truth of what we are has just begun.",
43,"Who is the person that you are in dreams?
A braver soul, or so it often seems.
A silent hero, or a frightened child,
Emotional, irrational, and wild.
And when you wake, you put him back in place,
And wear your calm and ordinary face.
But which one is the actor, which is true?
The one who dreams, or the one who sees it through?",
44,"We are just vessels, holding for a while
A certain laugh, a secret, or a smile.
We think these feelings are our own to keep,
While in the quiet of our borrowed sleep.
But they are older, they have been here long,
A timeless and recurring, human song.
We are the cup, the feeling is the wine,
And both are temporary, by design.",
45,"The person that I was at seventeen,
Is now a stranger, a forgotten scene.
I hold his photograph and try to find
A single common thought left in my mind.
We shed our skins, we molt, we are reborn,
A different person every single morn.
So who am I? A collection of the past?
A fleeting consciousness that cannot last?",
46,"Is time a river, flowing to the sea,
That carries on, with or without me?
Or is it just a room in which I stand,
With future and with past on either hand?
I walk its length, I think I'm moving on,
From yesterday's defeat to a new dawn.
But maybe I am still, and time's the thing
That rushes past, a bird upon the wing.",
47,"We think a choice is made, a door is shut,
A simple, clean, and well-defined clear cut.
But every path we did not choose to take,
Still travels with us, for our own heart's sake.
A ghostly version of the self we spurned,
A lesson that was never truly learned.
And in the quiet, you can hear them call,
The people we became by losing all
The other people we were meant to be,
A silent and invisible debris.",
48,"Is truth a rock, a thing that you can hold,
A perfect story, meant to be retold?
Or is it just a candle in the night,
That casts a single, solitary light,
And in the darkness, shadows leap and play,
And show the world in a completely different way.
My shadow-truth is just as real to me,
As the small flame that you have claimed to see.
Perhaps the truth is not the light we find,
But the specific shadows left behind.",
49,"The body is a boat, and I'm the sea,
It thinks it has control and mastery.
It sets its sails, it thinks it knows the course,
And battles with its own imagined force.
But I'm the tide, the current, and the swell,
The silent, deep, and unpredictable hell
And heaven, both. I let the vessel ride,
And think that it has somewhere left to hide.
But in the end, the wood will break and fray,
And I'm the water that will wash away
The wreckage of this brief and fleeting trip,
The ocean that has swallowed the whole ship.",
50,"We are all stories, in the end, it seems,
A collection of our memories and dreams.
We tell ourselves the tale of who we are,
A guiding and familiar, northern star.
We edit out the parts we can't abide,
The moments where we failed, or ran, or lied.
And what is left is not the perfect truth,
But the essential, necessary proof
That we survived. The story is the thing
That gives our weary, broken spirit wing.
We are the author, and the hero too,
And the ghost-writer, seeing our own self through.",
